estimator,bias,rmse,bias_emp_ci_lower,bias_emp_ci_upper,abs_bias,dgp_number,N,T,fact_label,eps_autocorrelated,avg_diff_in_loading,eta_y,tau_x,beta,true_att,err_label,dgp_label
TECCE,0.005599034090330041,0.20570070685670308,-0.3769398495051749,0.4077091682381563,0.1524344844718929,3,50,5,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,-0.00539211496970772,0.1516965117411181,-0.30500738387632903,0.3085407274619983,0.1197117968219015,3,50,5,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.0457807699723891,1.0569265990587784,-1.3488360251425595,-0.7375611760984249,1.0457807699723891,3,50,5,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,-0.007724500228768133,0.174991547939144,-0.3476720918331774,0.33278351372084025,0.13972201337948842,3,50,5,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-1.0068362802409219,1.0174514783133801,-1.2939806043255944,-0.723624776071451,1.0068362802409219,3,50,5,Constant,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.01357970741498015,0.20634510104929588,-0.36999355488879815,0.4447804377273779,0.15846363381336676,3,50,5,Linear Trend,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,0.009557747634860817,0.15816663077033427,-0.29914852717802043,0.31472621105354887,0.12648169466916653,3,50,5,Linear Trend,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.2620495033665706,1.2733465091663165,-1.6297315295435282,-0.9588784145038928,1.2620495033665706,3,50,5,Linear Trend,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,-0.3044905099115337,0.36934107253842857,-0.7013502247684266,0.09762054433729304,0.3190490363604642,3,50,5,Linear Trend,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-1.199496587730127,1.20898491109486,-1.494927000018802,-0.9144855512130403,1.199496587730127,3,50,5,Linear Trend,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.002048139084847806,0.2139694679175871,-0.4068155231346473,0.42743570725692764,0.16313077248883823,3,50,5,Autocorrelated,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,5.403529896386722e-4,0.16085315443468926,-0.32097324556211937,0.3216447765320837,0.12662313443499223,3,50,5,Autocorrelated,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-1.3290169340414753,1.3392381276853635,-1.650744088125069,-1.0147802876995007,1.3290169340414753,3,50,5,Autocorrelated,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,0.0804224088495315,0.20332074689458257,-0.28334465441123474,0.4526662244770615,0.16098396474648508,3,50,5,Autocorrelated,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-1.3100865360171883,1.3204665096725499,-1.6341493393009552,-0.9951358771879184,1.3100865360171883,3,50,5,Autocorrelated,FALSE,-0.5,0,1,1,1,Independent,"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.007309287226309906,0.5499445196858302,-1.0265194309187278,0.9940505088763354,0.39723387281904593,3,50,5,Constant,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth,0.021417525721595998,0.39387743512462003,-0.719933352843039,0.7864384099481291,0.3124446791785121,3,50,5,Constant,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
gsynth with Control,-0.9835632437601425,1.0316536229121245,-1.5829624590953286,-0.3487270936624732,0.983917867919822,3,50,5,Constant,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE via OLS,-0.004222463416835809,0.4528687229411191,-0.9121503750308241,0.9257953873814594,0.35912112943406466,3,50,5,Constant,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TWFE with Control,-0.9947535743936232,1.050419361500507,-1.6493077947300936,-0.3173959933140592,0.995343077596798,3,50,5,Constant,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
TECCE,0.011308236137155142,0.5387305805970015,-1.087861963217609,1.0148331274898874,0.40703602193896116,3,50,5,Linear Trend,TRUE,-0.5,0,1,1,1,AR(1),"$\kappa = -0.5$, $\tau_x = 1$"
